"X.1","Area","Mean","Min","Max","X","Y","distance_cm","cond","day","min"
3,0,140,140,140,2646,1138,1.34616465601425,"ctl","1",1
4,0,75,75,75,2597,1138,1.62973882310991,"ctl","1",1
5,0,66,66,66,2596,1106,1.63286461925705,"ctl","1",1
6,0,95,95,95,2632,1024,1.41770449599375,"ctl","1",1
7,0,137,137,137,2637,938,1.38161575865862,"ctl","1",1
8,0,100,100,100,2558,989,1.8430484196076,"ctl","1",1
9,0,76,76,76,2555,952,1.85733282284319,"ctl","1",1
10,0,51,51,51,2577,901,1.72577215218916,"ctl","1",1
11,0,124,124,124,2529,921,2.00522248623039,"ctl","1",1
12,0,86,86,86,2518,956,2.07179293410901,"ctl","1",1
13,0,138,138,138,2490,967,2.23475018247155,"ctl","1",1
14,0,117,117,117,2490,987,2.23641357731703,"ctl","1",1
15,0,62,62,62,2500,1054,2.18411367105029,"ctl","1",1
16,0,122,122,122,2489,1097,2.2513494768671,"ctl","1",1
17,0,98,98,98,2458,1141,2.43441301042442,"ctl","1",1
18,0,111,111,111,2433,1141,2.57909370792221,"ctl","1",1
19,0,68,68,68,2394,1138,2.80454608679193,"ctl","1",1
20,0,80,80,80,2375,1071,2.90893104415788,"ctl","1",1
21,0,79,79,79,2432,952,2.5691618545323,"ctl","1",1
22,0,95,95,95,2408,952,2.70805532413017,"ctl","1",1
23,0,132,132,132,2470,907,2.34550455593333,"ctl","1",1
24,0,67,67,67,2410,907,2.69273822992801,"ctl","1",1
25,0,70,70,70,2345,898,3.06815951574179,"ctl","1",1
26,0,107,107,107,2300,898,3.3285847712378,"ctl","1",1
27,0,58,58,58,2272,904,3.49112617088897,"ctl","1",1
28,0,111,111,111,2368,934,2.93804738476569,"ctl","1",1
29,0,83,83,83,2347,971,3.06265645112798,"ctl","1",1
30,0,86,86,86,2313,964,3.25884001152905,"ctl","1",1
31,0,126,126,126,2307,1034,3.29938526088771,"ctl","1",1
32,0,125,125,125,2316,1069,3.2502111507681,"ctl","1",1
33,0,61,61,61,2287,1073,3.41837343883463,"ctl","1",1
34,0,134,134,134,2263,1087,3.55843128482434,"ctl","1",1
35,0,55,55,55,2271,1122,3.51504440260465,"ctl","1",1
36,0,48,48,48,2214,1149,3.847161975941,"ctl","1",1
37,0,146,146,146,2222,1133,3.79953343686532,"ctl","1",1
38,0,97,97,97,2120,911,4.37136699987142,"ctl","1",1
39,0,72,72,72,2111,939,4.4257808037543,"ctl","1",1
40,0,95,95,95,2083,1115,4.60246105959208,"ctl","1",1
41,0,122,122,122,2053,1145,4.77857298885765,"ctl","1",1
42,0,89,89,89,1996,913,5.08914959894499,"ctl","1",1
43,0,155,155,155,1966,904,5.26201790826186,"ctl","1",1
44,0,72,72,72,2437,1074,2.55037242359019,"ctl","1",1
45,0,95,95,95,2589,981,1.66297899677215,"ctl","1",1
46,0,151,151,151,1861,1028,5.87998988579456,"ctl","1",1
3,0,139,139,139,2621,1152,1.52824100975796,"ctl","1",15
4,0,107,107,107,2657,1140,1.32095441458823,"ctl","1",15
5,0,79,79,79,2634,912,1.44053549366175,"ctl","1",15
6,0,97,97,97,2461,956,2.43591743438435,"ctl","1",15
7,0,90,90,90,2317,1139,3.27242600668333,"ctl","1",15
8,0,96,96,96,2316,1153,3.27892927594773,"ctl","1",15
9,0,76,76,76,2306,1163,3.33687245073537,"ctl","1",15
10,0,121,121,121,2218,1158,3.84170065686169,"ctl","1",15
11,0,130,130,130,2137,1012,4.29866098376933,"ctl","1",15
12,0,92,92,92,2006,1170,5.05918901181147,"ctl","1",15
13,0,112,112,112,1902,979,5.64571027754428,"ctl","1",15
14,0,193,193,193,1456,982,8.20581697760878,"ctl","1",15
15,0,197,197,197,1318,905,8.99370781783888,"ctl","1",15
16,0,205,205,205,1252,958,9.37542381965169,"ctl","1",15
17,0,106,106,106,1214,1007,9.59620776612489,"ctl","1",15
18,0,165,165,165,1211,1153,9.62138918820319,"ctl","1",15
19,0,191,191,191,1211,1168,9.62220720949431,"ctl","1",15
20,0,195,195,195,1155,1167,9.94358050739886,"ctl","1",15
21,0,203,203,203,1062,1098,10.4736174029799,"ctl","1",15
22,0,139,139,139,1056,1068,10.5064200567538,"ctl","1",15
